loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),SampleIndex
2025-11-20T22:24:11.828+01:00,13722,630814.0945642916,0.9212150568654986,0.913535453031297,-1.330151172155728,-0.3892011642456055,0.0318169854581356,-0.0776130333542823,-0.0049740672111511,0.0453390926122665,-0.0228284634649753,XArbitraryCorrectedZVertical,-0.6503927065301558,0.064696567661723,0.0700875933737463,0.7535856885962875,0.9786678552627563,-0.1991934478282928,0.0503095723688602,41.70330810546875,-20.21702575683594,-11.02976989746094,-1,2,4003
2025-11-20T22:24:11.863+01:00,13723,630814.1294802917,0.9543037848769644,0.9475695050262382,-1.337761768966354,-0.2334435880184174,0.0669600740075111,-0.0105079747736454,-0.0056902766227722,0.0414245277643203,-0.025095347315073,XArbitraryCorrectedZVertical,-0.6545543406826169,0.0645458773763962,0.069275435762267,0.7500622397584606,0.9788652658462524,-0.1983001083135605,0.0499976985156536,41.7767333984375,-19.8150634765625,-11.58480834960938,-1,2,4004
2025-11-20T22:24:11.898+01:00,13724,630814.1643962917,0.9784359662152978,0.9731570608214232,-1.341121742842667,-0.1220950782299042,0.0454893931746482,0.0308572724461555,-0.0095448493957519,0.0162357240915298,-0.0090812370181083,XArbitraryCorrectedZVertical,-0.657032199977736,0.0652459144524061,0.0689540725734424,0.7478617288993631,0.9786763787269592,-0.199036031961441,0.0507682897150516,41.78265380859375,-19.82107543945312,-11.80152893066406,-1,2,4005
2025-11-20T22:24:11.933+01:00,13725,630814.1993132917,0.9920684558736966,0.9879689924086106,-1.341612151392199,-0.0299623887985944,0.0347566418349742,0.0325778611004352,-0.022096574306488,-0.0052627176046371,-0.004202127456665,XArbitraryCorrectedZVertical,-0.6581064543114945,0.0661551349660544,0.0690348792217392,0.7468290864641215,0.978334367275238,-0.2004715204238892,0.0517027713358402,41.8812255859375,-19.84725952148438,-11.69541931152344,-1,2,4006
2025-11-20T22:24:11.970+01:00,13726,630814.2342292917,0.9936197809745496,0.9904040232829092,-1.341302173193623,0.0381422378122806,0.0107127912342548,-0.0150627447292208,-0.025863766670227,-0.0327522903680801,-0.0032961368560791,XArbitraryCorrectedZVertical,-0.658169786454027,0.0666449178338845,0.0689038470640173,0.7467417942309857,0.9781952500343324,-0.2009207904338837,0.0525819659233093,41.75,-19.70750427246094,-11.719482421875,-1,2,4007
2025-11-20T22:24:12.002+01:00,13727,630814.2691462917,0.9841989111722808,0.981342049475628,-1.341762450602108,0.0604809410870075,-0.0009713084436953,-0.0685276091098785,-0.0100884437561035,-0.0557273030281066,-0.0054824352264404,XArbitraryCorrectedZVertical,-0.6576538108494806,0.0662243140569946,0.0682311877607201,0.7472953901234427,0.9785026907920836,-0.1993080973625183,0.0529983341693878,41.9002685546875,-19.87216186523438,-11.5101318359375,-1,2,4008
2025-11-20T22:24:12.038+01:00,13728,630814.3040622917,0.970607451365452,0.9686716008368274,-1.342516502518813,0.0764532163739204,0.031618345528841,-0.0511056780815124,-0.0028031468391418,-0.0567855387926101,-0.0130203887820243,XArbitraryCorrectedZVertical,-0.6569554229529404,0.0657351745483688,0.067095119744573,0.7480554236616698,0.9789385199546814,-0.1968918591737747,0.0539750382304191,41.76214599609375,-19.76277160644531,-11.62979125976562,-1,2,4009
2025-11-20T22:24:12.072+01:00,13729,630814.3389792917,0.96001972412557,0.9597484985702016,-1.341641290687891,0.0864102467894554,0.0367220267653465,0.0247222427278757,0.0369555950164794,-0.0731824338436126,-0.0176731348037719,XArbitraryCorrectedZVertical,-0.6560985322610806,0.0661239926257208,0.0663145205323934,0.7488422802317865,0.978989839553833,-0.1961199343204498,0.0558200627565383,41.984619140625,-19.7781982421875,-11.61543273925781,-1,2,4010
2025-11-20T22:24:12.107+01:00,13730,630814.3738952917,0.9558101500408904,0.9560002031576198,-1.337561547761456,0.0975349172949791,-0.0301067940890789,0.1315861493349075,0.0579712390899658,-0.1036254614591599,-0.0207091569900512,XArbitraryCorrectedZVertical,-0.6548425123663917,0.0672713225196037,0.0671378474660713,0.7497655774451512,0.9784209728240968,-0.1986663937568665,0.0567809417843818,41.970703125,-20.026611328125,-11.58830261230469,-1,2,4011
2025-11-20T22:24:12.142+01:00,13731,630814.4088112917,0.960960058134806,0.9598854415488411,-1.332573972387078,0.0330813936889171,-0.0188584197312593,0.1044236943125725,-0.0450761914253234,-0.1008356362581253,-0.0145733430981636,XArbitraryCorrectedZVertical,-0.6539355774585305,0.0684758449250938,0.0692303297852261,0.7502575447851518,0.9775253534317015,-0.2032262086868286,0.0560619346797466,41.74835205078125,-20.11119079589844,-11.53057861328125,-1,2,4012
