loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),SampleIndex
2025-11-20T22:19:21.570+01:00,5409,630523.8349972917,0.1898990812950422,-0.0809537476688315,0.0083506682981497,-0.184370830655098,0.0338337644934654,0.1218318790197372,-0.6795156598091125,0.222821369767189,-0.0218589380383491,XArbitraryCorrectedZVertical,0.007989516559268,-0.0398876716946683,0.0945602532039009,0.9946877134008572,0.987132966518402,-0.1471072435379028,-0.0626747906208038,44.49200439453125,-18.65975952148438,4.331314086914062,-1,2,3540
2025-11-20T22:19:21.610+01:00,5410,630523.8699132917,0.1916698263788901,-0.0843019220761402,0.0005606434590471,-0.2297380864620209,-0.2729605138301849,0.1343742907047272,-0.6998470425605774,0.2834647297859192,0.0925659611821174,XArbitraryCorrectedZVertical,0.0043109465907804,-0.0419183213076952,0.0955915319109546,0.9945282720379144,0.9865595698356628,-0.1489889621734619,-0.0670990720391273,44.8631591796875,-19.13189697265625,4.271133422851562,-1,2,3541
2025-11-20T22:19:21.639+01:00,5411,630523.9048302918,0.2028943312964217,-0.0930333958729455,-0.0060441435978953,-0.0245753116905689,-0.0863299295306205,0.3896113932132721,-0.9537311792373656,0.2305847704410553,-0.0549346134066581,XArbitraryCorrectedZVertical,0.0017058991491447,-0.0465663632858705,0.1013030393769997,0.9937637495647704,0.9841113090515136,-0.1601806879043579,-0.0765961483120918,45.22943115234375,-19.40097045898438,3.93463134765625,-1,2,3542
2025-11-20T22:19:21.674+01:00,5412,630523.9397462917,0.2078484663172085,-0.0870576482350235,-0.0044273113840496,0.1060113161802292,0.358180433511734,-0.0780792534351348,-0.7106682658195496,-0.2493851780891418,-0.0519833639264106,XArbitraryCorrectedZVertical,0.0023144981395475,-0.0435096147610201,0.103734547414928,0.9936502846037624,0.9837701320648192,-0.165043517947197,-0.0704074203968048,45.27728271484375,-19.53422546386719,4.2041015625,-1,2,3543
2025-11-20T22:19:21.709+01:00,5413,630523.9746622917,0.203265014710787,-0.0734570951510266,0.0005858380070564,0.0779225304722785,0.3771512508392334,-0.2296652793884277,0.282579779624939,-0.8897588849067688,-0.245503842830658,XArbitraryCorrectedZVertical,0.00401676406143,-0.0365011064895184,0.1013785000329826,0.9941700212291764,0.9854409098625184,-0.1604425013065338,-0.0562540143728256,45.89178466796875,-19.16175842285156,4.86077880859375,-1,2,3544
2025-11-20T22:19:21.744+01:00,5414,630524.0095792917,0.1958071431621304,-0.0696797738238924,2.469257435469452e-05,-0.181429386138916,-0.0502553284168243,0.0238806493580341,0.9856667518615724,-1.215595841407776,-0.3643808364868164,XArbitraryCorrectedZVertical,0.0034170944401104,-0.0346648304449383,0.0976875048386546,0.994607301192202,0.9868061542510986,-0.153086930513382,-0.0527029372751712,46.17633056640625,-18.74284362792969,5.21514892578125,-1,2,3545
2025-11-20T22:19:21.779+01:00,5415,630524.0444952917,0.1909597381697811,-0.0685065156422121,-0.0041069121327455,-0.0441159904003143,0.0511187426745891,-0.3361628651618958,0.9145758152008056,-1.054794549942017,-0.4684081673622131,XArbitraryCorrectedZVertical,0.0012219815289815,-0.0342861546594382,0.0953487426637803,0.99485255288824,0.9875542521476746,-0.1483608931303024,-0.0522064790129661,46.7847900390625,-18.59996032714844,5.564361572265625,-1,2,3546
2025-11-20T22:19:21.814+01:00,5416,630524.0794112918,0.187243086445126,-0.0696839727591879,-0.0073300672682897,-0.2005644887685776,-0.0470477454364299,0.1987064927816391,0.4324368834495544,-0.1918441653251648,-0.0479950234293937,XArbitraryCorrectedZVertical,-0.0003902438072216,-0.0350245691260992,0.0935545866048676,0.9949977965955512,0.9880036115646362,-0.1447341591119766,-0.0538574457168579,46.9100341796875,-18.59866333007812,5.538116455078125,-1,2,3547
2025-11-20T22:19:21.852+01:00,5417,630524.1143272917,0.1932775577008759,-0.0621185906890186,-0.0141552018693916,-0.0953705012798309,0.7148285508155823,-0.0306768398731946,-0.3721014857292175,-0.0321675240993499,0.2234981656074524,XArbitraryCorrectedZVertical,-0.0040448155134556,-0.0315912017536827,0.0966582364109091,0.9948079757628636,0.9874273538589478,-0.1508005708456039,-0.0473964884877204,47.19891357421875,-19.165771484375,5.7176513671875,-1,2,3548
2025-11-20T22:19:21.884+01:00,5418,630524.1492442917,0.1880001813178942,-0.0320563438518765,-0.0198184180624421,-0.3381015658378601,0.4705575704574585,-0.0150402327999472,0.817356288433075,0.0098108649253845,0.5566328763961792,XArbitraryCorrectedZVertical,-0.008359739766206,-0.0168859042367495,0.0940031662201476,0.9953936535225072,0.9891623854637146,-0.1456598490476608,-0.0184706691652536,47.49237060546875,-19.14962768554688,6.670379638671875,-1,2,3549
