loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),SampleIndex
2025-11-20T22:20:05.570+01:00,6669,630567.8296126251,0.2005743830938937,-0.0273894856009019,-0.0048122006365575,-0.1111402958631516,-0.1389574557542801,0.238837331533432,0.0440883040428161,0.0975690633058548,0.0599877834320068,XArbitraryCorrectedZVertical,-0.0010227245247874,-0.0138663413686216,0.1001422745041484,0.9948759841676764,0.9873905181884766,-0.1578717678785324,-0.0116784963756799,42.325439453125,-19.60163879394531,6.4725341796875,-1,2,4800
2025-11-20T22:20:05.599+01:00,6670,630567.864528625,0.209902992412702,-0.0315598134361941,-0.0090991924839386,0.0095755802467465,-0.1332599073648453,0.2950816452503204,0.0784749388694763,0.0053504258394241,0.0549302697181701,XArbitraryCorrectedZVertical,-0.0028709833597909,-0.0161688165728445,0.1048162013891571,0.9943559991397168,0.985794961452484,-0.1671393215656281,-0.0165086779743433,42.15283203125,-20.11090087890625,6.039459228515625,-1,2,4801
2025-11-20T22:20:05.634+01:00,6671,630567.899445625,0.2207067542677621,-0.0366633147146525,-0.009431703255527,0.0621340498328208,-0.1721697747707367,0.3147796094417572,0.0851837396621704,-0.0841022282838821,0.1669668555259705,XArbitraryCorrectedZVertical,-0.0026676400044855,-0.0187381919187836,0.1101957213054388,0.993729712833864,0.983831822872162,-0.1777843534946442,-0.0216269213706255,41.8809814453125,-20.43742370605469,5.883056640625,-1,2,4802
2025-11-20T22:20:05.669+01:00,6672,630567.934361625,0.2305190337898929,-0.0421948756965092,-0.0132893537292419,-0.1014710143208504,-0.2005979716777802,0.2640498280525208,0.0769639015197753,-0.1346135884523392,0.2452595233917236,XArbitraryCorrectedZVertical,-0.0041730053160548,-0.0217194299793718,0.115115597430353,0.993105882186722,0.9818739295005798,-0.1874841451644897,-0.0278065986931324,41.63690185546875,-21.1319580078125,5.364913940429688,-1,2,4803
2025-11-20T22:20:05.704+01:00,6673,630567.9692776251,0.2401561918382516,-0.0485495882669681,-0.0200992651128825,-0.0528554134070873,-0.1740386784076691,0.2712518870830536,0.1226589679718018,-0.0987948477268219,0.1248374581336975,XArbitraryCorrectedZVertical,-0.0070667216525329,-0.0252998807727424,0.1199905624604354,0.9924275142440706,0.9797580242156982,-0.197027251124382,-0.0354210101068019,41.358642578125,-21.40606689453125,4.83502197265625,-1,2,4804
2025-11-20T22:20:05.738+01:00,6674,630568.0041936251,0.2488931683748151,-0.0522064568486377,-0.0218015385500661,0.0747418850660324,-0.1064133122563362,0.2567112743854523,0.0508305430412292,-0.0217681378126144,0.0590711794793605,XArbitraryCorrectedZVertical,-0.0075730503555879,-0.0272494539606796,0.1243582555457229,0.9918343135556228,0.977840781211853,-0.2056030780076981,-0.0394331775605678,41.1268310546875,-21.79447937011719,4.62200927734375,-1,2,4805
2025-11-20T22:20:05.774+01:00,6675,630568.039110625,0.2573244215218884,-0.0536922905012393,-0.0251912568598389,-0.0779170617461204,0.0449732132256031,0.1949230581521988,-0.0200824737548828,-0.0604405403137207,0.0275040902197361,XArbitraryCorrectedZVertical,-0.0090428115287321,-0.0282344259367276,0.1285864188796798,0.9912550457300308,0.9759691953659058,-0.2138819098472595,-0.0416947938501834,40.79925537109375,-22.2177734375,4.642654418945312,-1,2,4806
2025-11-20T22:20:05.811+01:00,6676,630568.074026625,0.2585240260012347,-0.0467458518192834,-0.0297162171700616,-0.0954645127058029,0.2846092283725739,-0.1241937279701233,-0.0982463955879211,0.0172539800405502,-0.0767061114311218,XArbitraryCorrectedZVertical,-0.0117173667087389,-0.0250879131288531,0.1291972411665274,0.9912323354265326,0.9759320616722108,-0.215099424123764,-0.0359037704765796,40.5845947265625,-22.27261352539062,4.839157104492188,-1,2,4807
2025-11-20T22:20:05.844+01:00,6677,630568.108942625,0.2529816115094395,-0.0357595953877835,-0.0345527984123766,-0.1473282426595688,0.3425244987010956,-0.1266986131668091,-0.1023350358009338,0.1379390060901642,-0.139040470123291,XArbitraryCorrectedZVertical,-0.0148796335052243,-0.0199123837530588,0.1264211738893378,0.9916652028818091,0.9774112701416016,-0.2097315788269043,-0.0260748900473117,40.501220703125,-22.07402038574219,4.715179443359375,-1,2,4808
2025-11-20T22:20:05.878+01:00,6678,630568.1438596251,0.2468791730514579,-0.0244190265503876,-0.041845738397046,-0.2957881987094879,0.307282030582428,-0.2528649270534515,-0.1240589022636414,0.116102933883667,-0.165463387966156,XArbitraryCorrectedZVertical,-0.019257657030547,-0.0146894328707256,0.1233436981103909,0.9920684800442808,0.9788715839385986,-0.2038256973028183,-0.0162993539124727,40.3853759765625,-21.80256652832031,4.9149169921875,-1,2,4809
