loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),SampleIndex
2025-11-20T22:24:41.961+01:00,14585,630844.2274785,2.593582950068823,-2.501032427980324,1.346809322419054,0.1226766929030418,0.0660031586885452,-0.624531090259552,-0.0846255421638488,-0.0770016461610794,0.0441911220550537,XArbitraryCorrectedZVertical,-0.7674017811056556,0.0117430886906719,-0.0767530359689033,-0.6364477331948634,0.992431938648224,-0.1078585907816887,0.0586988441646099,52.61962890625,5.473388671875,15.61921691894531,-1,2,12716
2025-11-20T22:24:41.996+01:00,14586,630844.2623955001,2.697113441641246,-2.599780929430068,1.357329296721965,0.0936474576592445,0.0562460906803607,-0.7394794225692749,-0.0519003868103027,-0.0057161599397659,0.05488932877779,XArbitraryCorrectedZVertical,-0.7686039623203137,0.0014577876709812,-0.0698636558211826,-0.6358970562200491,0.9946342706680298,-0.0832883715629577,0.0613673292100429,52.592529296875,6.47119140625,15.68214416503906,-1,2,12717
2025-11-20T22:24:42.031+01:00,14587,630844.2973115001,2.79606516873459,-2.695197911902795,1.365022980781553,0.0687611550092697,0.0254519283771514,-0.4477078318595886,0.0510867238044738,0.0675704330205917,0.0422435998916626,XArbitraryCorrectedZVertical,-0.7694777187715522,-0.0074477244971012,-0.0634689813898162,-0.635468604925516,0.9961239099502563,-0.0614364072680473,0.0629504546523094,52.50152587890625,7.939804077148438,15.69424438476562,-1,2,12718
2025-11-20T22:24:42.066+01:00,14588,630844.3322285,2.845506296642837,-2.742565401541164,1.366839638836581,0.10218795388937,0.0178095065057277,-0.1631102710962296,0.1095075607299805,0.0294867046177387,0.0002964735031127,XArbitraryCorrectedZVertical,-0.7701821308042017,-0.0116719348825772,-0.0607081375240443,-0.6348210596753263,0.9966172575950624,-0.0513983368873596,0.0641260296106338,52.3175048828125,8.50115966796875,15.70954895019531,-1,2,12719
2025-11-20T22:24:42.100+01:00,14589,630844.3671445,2.865056890040841,-2.762578985703635,1.363653859430527,0.1232246160507202,-0.0359711609780788,-0.034583956003189,-0.0114153027534484,0.0516898445785045,-0.013413667678833,XArbitraryCorrectedZVertical,-0.7716076900658446,-0.0124862338219534,-0.0595567697940327,-0.6331814307352264,0.9967973232269288,-0.0486380830407142,0.0634776502847671,52.44024658203125,8.821685791015625,15.27987670898438,-1,2,12720
2025-11-20T22:24:42.135+01:00,14590,630844.4020615,2.885647974286451,-2.784343509640913,1.359042664491327,0.1700336039066315,-0.0544801130890846,-0.0979964286088943,-0.0324253439903259,0.0189200341701507,-0.0424672290682792,XArbitraryCorrectedZVertical,-0.773487187127022,-0.0130470707061784,-0.058154456932982,-0.6310035695367266,0.9970097541809082,-0.0459433495998382,0.0621356852352619,52.5299072265625,9.076080322265623,15.29464721679688,-1,2,12721
2025-11-20T22:24:42.170+01:00,14591,630844.4369775001,2.916077945463269,-2.81604927095278,1.353631385900312,0.2060813307762146,-0.0810776576399803,-0.142713651061058,0.0987821817398071,-0.0629830285906791,-0.0559076070785522,XArbitraryCorrectedZVertical,-0.7758017885925362,-0.0142952494956594,-0.0559898520612525,-0.6283250805769693,0.9973176121711732,-0.0412192605435848,0.0604851804673671,52.85260009765625,9.414306640625,15.06637573242188,-1,2,12722
2025-11-20T22:24:42.211+01:00,14592,630844.4718945001,2.937302198154265,-2.839200534496076,1.348842771230944,0.1398914158344269,-0.0447590835392475,-0.0191731322556734,0.1000325679779053,-0.0340068042278289,-0.0561860837042331,XArbitraryCorrectedZVertical,-0.7777235463006357,-0.0148289965455818,-0.0540849987080531,-0.6260998627499894,0.9975778460502625,-0.0379536561667919,0.0582917630672454,52.93756103515625,9.472198486328123,14.86517333984375,-1,2,12723
2025-11-20T22:24:42.240+01:00,14593,630844.5068105,2.940552854296866,-2.843122633251955,1.344787847435126,0.0891012772917747,0.0049539254978299,0.03190353885293,0.0730308294296264,-0.0334907360374927,-0.0572234503924846,XArbitraryCorrectedZVertical,-0.7790252183464798,-0.0145054701353118,-0.0539215895715332,-0.6245011549812515,0.9976019263267516,-0.0382255762815475,0.0576964318752288,53.07232666015625,9.530410766601562,15.09977722167969,-1,2,12724
2025-11-20T22:24:42.275+01:00,14594,630844.5417275,2.942520332940348,-2.844061681081419,1.342174841098153,0.0578740052878856,0.0432201027870178,-0.0074030747637152,0.0018576979637146,-0.028006263077259,-0.0508688613772392,XArbitraryCorrectedZVertical,-0.779821433212922,-0.0147478450376595,-0.054390658273263,-0.6234603260693773,0.9975320100784302,-0.0384152457118034,0.0587728433310985,53.06182861328125,9.692214965820312,15.00895690917969,-1,2,12725
